MCC,MWT Cat Mapping,sub_category,Master Category,Citi Bank Category
495,not provided,Others,Transfer out,Agricultural Services
496,not provided,Others,Transfer out,Agricultural Services
497,not provided,Others,Transfer out,Agricultural Services
498,not provided,Others,Transfer out,Agricultural Services
499,not provided,Others,Transfer out,Agricultural Services
500,not provided,Others,Transfer out,Agricultural Services
501,not provided,Others,Transfer out,Agricultural Services
502,not provided,Others,Transfer out,Agricultural Services
503,not provided,Others,Transfer out,Agricultural Services
504,not provided,Others,Transfer out,Agricultural Services
505,not provided,Others,Transfer out,Agricultural Services
506,not provided,Others,Transfer out,Agricultural Services
507,not provided,Others,Transfer out,Agricultural Services
508,not provided,Others,Transfer out,Agricultural Services
509,not provided,Others,Transfer out,Agricultural Services
510,not provided,Others,Transfer out,Agricultural Services
511,not provided,Others,Transfer out,Agricultural Services
512,not provided,Others,Transfer out,Agricultural Services
513,not provided,Others,Transfer out,Agricultural Services
514,not provided,Others,Transfer out,Agricultural Services
515,not provided,Others,Transfer out,Agricultural Services
516,not provided,Others,Transfer out,Agricultural Services
517,not provided,Others,Transfer out,Agricultural Services
518,not provided,Others,Transfer out,Agricultural Services
519,not provided,Others,Transfer out,Agricultural Services
520,not provided,Others,Transfer out,Agricultural Services
521,not provided,Others,Transfer out,Agricultural Services
522,not provided,Others,Transfer out,Agricultural Services
523,not provided,Others,Transfer out,Agricultural Services
524,not provided,Others,Transfer out,Agricultural Services
525,not provided,Others,Transfer out,Agricultural Services
526,not provided,Others,Transfer out,Agricultural Services
527,not provided,Others,Transfer out,Agricultural Services
528,not provided,Others,Transfer out,Agricultural Services
529,not provided,Others,Transfer out,Agricultural Services
530,not provided,Others,Transfer out,Agricultural Services
531,not provided,Others,Transfer out,Agricultural Services
532,not provided,Others,Transfer out,Agricultural Services
533,not provided,Others,Transfer out,Agricultural Services
534,not provided,Others,Transfer out,Agricultural Services
535,not provided,Others,Transfer out,Agricultural Services
536,not provided,Others,Transfer out,Agricultural Services
537,not provided,Others,Transfer out,Agricultural Services
538,not provided,Others,Transfer out,Agricultural Services
539,not provided,Others,Transfer out,Agricultural Services
540,not provided,Others,Transfer out,Agricultural Services
541,not provided,Others,Transfer out,Agricultural Services
542,not provided,Others,Transfer out,Agricultural Services
543,not provided,Others,Transfer out,Agricultural Services
544,not provided,Others,Transfer out,Agricultural Services
545,not provided,Others,Transfer out,Agricultural Services
546,not provided,Others,Transfer out,Agricultural Services
547,not provided,Others,Transfer out,Agricultural Services
548,not provided,Others,Transfer out,Agricultural Services
549,not provided,Others,Transfer out,Agricultural Services
550,not provided,Others,Transfer out,Agricultural Services
551,not provided,Others,Transfer out,Agricultural Services
552,not provided,Others,Transfer out,Agricultural Services
553,not provided,Others,Transfer out,Agricultural Services
554,not provided,Others,Transfer out,Agricultural Services
555,not provided,Others,Transfer out,Agricultural Services
556,not provided,Others,Transfer out,Agricultural Services
557,not provided,Others,Transfer out,Agricultural Services
558,not provided,Others,Transfer out,Agricultural Services
559,not provided,Others,Transfer out,Agricultural Services
560,not provided,Others,Transfer out,Agricultural Services
561,not provided,Others,Transfer out,Agricultural Services
562,not provided,Others,Transfer out,Agricultural Services
563,not provided,Others,Transfer out,Agricultural Services
564,not provided,Others,Transfer out,Agricultural Services
565,not provided,Others,Transfer out,Agricultural Services
566,not provided,Others,Transfer out,Agricultural Services
567,not provided,Others,Transfer out,Agricultural Services
568,not provided,Others,Transfer out,Agricultural Services
569,not provided,Others,Transfer out,Agricultural Services
570,not provided,Others,Transfer out,Agricultural Services
571,not provided,Others,Transfer out,Agricultural Services
572,not provided,Others,Transfer out,Agricultural Services
573,not provided,Others,Transfer out,Agricultural Services
574,not provided,Others,Transfer out,Agricultural Services
575,not provided,Others,Transfer out,Agricultural Services
576,not provided,Others,Transfer out,Agricultural Services
577,not provided,Others,Transfer out,Agricultural Services
578,not provided,Others,Transfer out,Agricultural Services
579,not provided,Others,Transfer out,Agricultural Services
580,not provided,Others,Transfer out,Agricultural Services
581,not provided,Others,Transfer out,Agricultural Services
582,not provided,Others,Transfer out,Agricultural Services
583,not provided,Others,Transfer out,Agricultural Services
584,not provided,Others,Transfer out,Agricultural Services
585,not provided,Others,Transfer out,Agricultural Services
586,not provided,Others,Transfer out,Agricultural Services
587,not provided,Others,Transfer out,Agricultural Services
588,not provided,Others,Transfer out,Agricultural Services
589,not provided,Others,Transfer out,Agricultural Services
590,not provided,Others,Transfer out,Agricultural Services
591,not provided,Others,Transfer out,Agricultural Services
592,not provided,Others,Transfer out,Agricultural Services
593,not provided,Others,Transfer out,Agricultural Services
594,not provided,Others,Transfer out,Agricultural Services
595,not provided,Others,Transfer out,Agricultural Services
596,not provided,Others,Transfer out,Agricultural Services
597,not provided,Others,Transfer out,Agricultural Services
598,not provided,Others,Transfer out,Agricultural Services
599,not provided,Others,Transfer out,Agricultural Services
